country,date,words
AT,1996-01-15,12819
AT,1996-01-30,56961
AT,1996-01-31,57494
AT,1996-02-27,53580
AT,1996-02-28,129239
AT,1996-02-29,121
AT,1996-03-13,83088
AT,1996-03-14,90762
AT,1996-03-20,95404
AT,1996-03-21,88407
AT,1996-04-16,361007
AT,1996-04-23,360032
AT,1996-04-26,806
AT,1996-05-07,84903
AT,1996-05-22,124695
AT,1996-05-23,112512
AT,1996-06-13,134836
AT,1996-06-14,364
AT,1996-06-18,51259
AT,1996-06-27,130085
AT,1996-06-28,90470
AT,1996-07-09,113150
AT,1996-07-10,147458
AT,1996-07-11,183609
AT,1996-09-19,96801
AT,1996-09-20,91859
AT,1996-10-02,96919
AT,1996-10-03,84555
AT,1996-10-30,91930
AT,1996-10-31,83446
AT,1996-11-27,78539
AT,1996-11-28,104649
AT,1996-11-29,99160
AT,1996-12-11,99610
AT,1996-12-12,123654
AT,1996-12-13,98578
AT,1997-01-14,50680
AT,1997-01-22,100343
AT,1997-01-23,99693
AT,1997-01-29,68118
AT,1997-02-18,59567
AT,1997-02-26,87718
AT,1997-02-27,92615
AT,1997-03-19,120812
AT,1997-03-20,103368
AT,1997-04-10,30945
AT,1997-04-16,91594
AT,1997-04-17,75240
AT,1997-05-06,39790
AT,1997-05-14,104351
AT,1997-05-15,85152
AT,1997-06-05,45261
AT,1997-06-11,141789
AT,1997-06-12,119054
AT,1997-07-08,90675
AT,1997-07-09,126709
AT,1997-07-10,117487
AT,1997-07-11,94243
AT,1997-09-18,118529
AT,1997-09-19,84542
AT,1997-10-02,27026
AT,1997-10-08,91919
AT,1997-10-09,72020
AT,1997-10-10,58759
AT,1997-11-05,67869
AT,1997-11-06,79438
AT,1997-11-07,89751
AT,1997-11-11,75281
AT,1997-11-12,96153
AT,1997-11-13,111212
AT,1997-11-14,87603
AT,1997-11-19,28401
AT,1997-12-10,84068
AT,1997-12-11,111822
AT,1997-12-12,91612
AT,1998-01-21,119784
AT,1998-01-22,108420
AT,1998-02-25,99496
AT,1998-02-26,94052
AT,1998-03-13,28855
AT,1998-03-25,72074
AT,1998-03-26,109437
AT,1998-04-15,100325
AT,1998-04-16,127017
AT,1998-05-12,111258
AT,1998-05-13,85971
AT,1998-05-14,82960
AT,1998-05-15,82808
AT,1998-05-26,108695
AT,1998-05-27,77448
AT,1998-05-28,58937
AT,1998-06-16,108384
AT,1998-06-17,100024
AT,1998-06-18,84387
AT,1998-07-07,114889
AT,1998-07-08,97753
AT,1998-07-09,118849
AT,1998-07-17,88402
AT,1998-09-17,105579
AT,1998-09-18,120444
AT,1998-10-07,91711
AT,1998-10-08,106253
AT,1998-11-04,119733
AT,1998-11-05,115076
AT,1998-11-26,110345
AT,1998-11-27,89414
AT,1998-12-04,124920
AT,1998-12-05,100
AT,1998-12-16,116862
AT,1999-01-20,122172
AT,1999-02-16,41768
AT,1999-02-24,99956
AT,1999-02-25,132779
AT,1999-03-24,116772
AT,1999-03-25,119833
AT,1999-04-21,105965
AT,1999-04-22,108792
AT,1999-05-10,41604
AT,1999-05-19,134326
AT,1999-05-20,110849
AT,1999-06-02,34498
AT,1999-06-16,132518
AT,1999-06-17,131058
AT,1999-06-18,110556
AT,1999-07-08,50989
AT,1999-07-13,141008
AT,1999-07-14,106455
AT,1999-07-15,107351
AT,1999-07-16,97216
AT,1999-10-29,14707
AT,1999-11-18,74644
AT,1999-12-15,98271
AT,2000-01-26,110762
AT,2000-02-08,36872
AT,2000-02-09,125947
AT,2000-02-10,88
AT,2000-02-24,43111
AT,2000-03-01,92841
AT,2000-03-02,91017
AT,2000-03-14,27896
AT,2000-03-21,89057
AT,2000-03-22,98531
